"Time","Value"
2025-11-21 00:52:00,17253
2025-11-21 00:54:00,17275
2025-11-21 00:56:00,17293
2025-11-21 00:58:00,17302
2025-11-21 01:00:00,17358
2025-11-21 01:02:00,17376
2025-11-21 01:04:00,17402
2025-11-21 01:06:00,17419
2025-11-21 01:08:00,17421
2025-11-21 01:10:00,17424
2025-11-21 01:12:00,17426
2025-11-21 01:14:00,17426
2025-11-21 01:16:00,17426
2025-11-21 01:18:00,17426
2025-11-21 01:20:00,17426
2025-11-21 01:22:00,17429
2025-11-21 01:24:00,17430
2025-11-21 01:26:00,17430
2025-11-21 01:28:00,17430
2025-11-21 01:30:00,17431
2025-11-21 01:32:00,17434
2025-11-21 01:34:00,17436
2025-11-21 01:36:00,17436
2025-11-21 01:38:00,17437
2025-11-21 01:40:00,17439
2025-11-21 01:42:00,17440
2025-11-21 01:44:00,17441
2025-11-21 01:46:00,17441
2025-11-21 01:48:00,17443
2025-11-21 01:50:00,17443
2025-11-21 01:52:00,17443
2025-11-21 01:54:00,17443
2025-11-21 01:56:00,17446
2025-11-21 01:58:00,17446
2025-11-21 02:00:00,17447
2025-11-21 02:02:00,17448
2025-11-21 02:04:00,17451
2025-11-21 02:06:00,17452
2025-11-21 02:08:00,17452
2025-11-21 02:10:00,17453
2025-11-21 02:12:00,17453
2025-11-21 02:14:00,17455
2025-11-21 02:16:00,17457
2025-11-21 02:18:00,17458
2025-11-21 02:20:00,17459
2025-11-21 02:22:00,17461
2025-11-21 02:24:00,17461
2025-11-21 02:26:00,17462
2025-11-21 02:28:00,17462
2025-11-21 02:30:00,17462
2025-11-21 02:32:00,17465
2025-11-21 02:34:00,17467
2025-11-21 02:36:00,17467
2025-11-21 02:38:00,17468
2025-11-21 02:40:00,17470
2025-11-21 02:42:00,17470
2025-11-21 02:44:00,17470
2025-11-21 02:46:00,17470
2025-11-21 02:48:00,17470
2025-11-21 02:50:00,17470
2025-11-21 02:52:00,17471
2025-11-21 02:54:00,17471
2025-11-21 02:56:00,17471
2025-11-21 02:58:00,17471
2025-11-21 03:00:00,17473
2025-11-21 03:02:00,17476
2025-11-21 03:04:00,17476
2025-11-21 03:06:00,17477
2025-11-21 03:08:00,17478
2025-11-21 03:10:00,17482
2025-11-21 03:12:00,17485
2025-11-21 03:14:00,17485
2025-11-21 03:16:00,17485
2025-11-21 03:18:00,17486
2025-11-21 03:20:00,17488
2025-11-21 03:22:00,17488
2025-11-21 03:24:00,17491
2025-11-21 03:26:00,17492
2025-11-21 03:28:00,17492
2025-11-21 03:30:00,17494
2025-11-21 03:32:00,17496
2025-11-21 03:34:00,17498
2025-11-21 03:36:00,17498
2025-11-21 03:38:00,17500
2025-11-21 03:40:00,17500
2025-11-21 03:42:00,17500
2025-11-21 03:44:00,17500
2025-11-21 03:46:00,17500
2025-11-21 03:48:00,17501
2025-11-21 03:50:00,17501
2025-11-21 03:52:00,17503
2025-11-21 03:54:00,17504
2025-11-21 03:56:00,17504
2025-11-21 03:58:00,17504
2025-11-21 04:00:00,17504
2025-11-21 04:02:00,17504
2025-11-21 04:04:00,17505
2025-11-21 04:06:00,17507
2025-11-21 04:08:00,17509
2025-11-21 04:10:00,17509
2025-11-21 04:12:00,17509
2025-11-21 04:14:00,17509
2025-11-21 04:16:00,17510
2025-11-21 04:18:00,17512
2025-11-21 04:20:00,17512
2025-11-21 04:22:00,17513
2025-11-21 04:24:00,17515
2025-11-21 04:26:00,17515
2025-11-21 04:28:00,17515
2025-11-21 04:30:00,17515
2025-11-21 04:32:00,17519
2025-11-21 04:34:00,17520
2025-11-21 04:36:00,17520
2025-11-21 04:38:00,17520
2025-11-21 04:40:00,17520
2025-11-21 04:42:00,17520
2025-11-21 04:44:00,17520
2025-11-21 04:46:00,17520
2025-11-21 04:48:00,17520
2025-11-21 04:50:00,17521
2025-11-21 04:52:00,17527
2025-11-21 04:54:00,17528
2025-11-21 04:56:00,17531
2025-11-21 04:58:00,17502
2025-11-21 05:00:00,17506

